,"Table 3.2",,,"Gross disposable household income1 (GDHI) per head at current basic prices",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"£ per head"
,,,,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,"20132"
,"NUTS Level 1",,,,,,,,,,,,,,,,,,,
,,"NUTS Level 2",,,,,,,,,,,,,,,,,,
,,,"NUTS Level 3",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"UKJ26",,,"East Surrey","14,656","15,770","16,524","17,224","18,078","18,700","18,872","19,198","20,272","21,495","22,400","22,182","22,657","23,828","23,737","24,387","24,479"
"UKJ27",,,"West Sussex (South West)","11,812","12,560","12,700","13,665","14,607","14,884","15,242","15,508","16,129","16,765","17,515","17,499","18,022","19,103","19,406","19,962","20,306"
"UKJ28",,,"West Sussex (North East)","11,718","12,375","12,577","13,578","14,501","14,882","15,197","15,534","16,114","16,664","17,365","17,297","17,687","18,595","18,770","19,285","19,638"
,,,,,,,,,,,,,,,,,,,,
"UKJ3",,"Hampshire and Isle of Wight",,"10,629","11,179","11,545","12,415","13,137","13,566","13,880","14,192","14,522","15,040","15,966","16,216","16,929","17,571","17,687","18,202","18,236"
"UKJ31",,,"Portsmouth","8,537","8,981","9,419","10,299","10,548","11,059","11,263","11,115","11,053","11,253","11,951","12,188","12,892","13,365","13,365","13,610","13,614"
"UKJ32",,,"Southampton","8,824","9,271","9,206","10,020","10,385","10,783","11,072","11,251","11,334","11,842","12,613","12,749","13,300","13,664","13,716","14,036","14,013"
"UKJ34",,,"Isle of Wight","8,804","9,284","9,672","10,236","11,217","11,429","11,753","12,061","12,554","13,147","13,851","14,028","14,972","15,910","16,127","16,632","17,109"
"UKJ35",,,"South Hampshire","11,256","11,842","12,227","13,062","13,884","14,346","14,715","15,198","15,655","16,219","17,188","17,512","18,063","18,675","18,949","19,537","19,563"
"UKJ36",,,"Central Hampshire","11,541","12,143","12,628","13,573","14,444","14,886","15,226","15,598","16,033","16,594","17,622","17,874","18,811","19,608","19,726","20,330","20,348"
"UKJ37",,,"North Hampshire","11,602","12,190","12,563","13,525","14,315","14,749","15,041","15,432","15,806","16,326","17,325","17,576","18,187","18,833","18,844","19,456","19,410"
,,,,,,,,,,,,,,,,,,,,
"UKJ4",,"Kent",,"10,506","10,997","11,397","12,249","13,021","13,498","13,684","14,000","14,503","14,983","15,808","15,949","16,655","17,439","17,546","17,953","18,281"
"UKJ41",,,"Medway","9,801","10,267","10,535","11,292","11,960","12,430","12,577","13,055","13,389","13,776","14,482","14,669","15,326","15,881","15,987","16,488","16,333"
"UKJ43",,,"Kent Thames Gateway","10,659","11,091","11,503","12,349","13,070","13,591","13,819","14,153","14,687","15,211","16,045","16,162","16,609","17,360","17,407","17,775","18,176"
"UKJ44",,,"East Kent","10,544","11,043","11,453","12,309","13,116","13,542","13,711","13,984","14,555","15,078","15,956","16,157","16,871","17,644","17,901","18,279","18,756"
"UKJ45",,,"Mid Kent","10,939","11,472","11,911","12,798","13,553","13,979","14,148","14,417","14,924","15,382","16,197","16,302","16,929","17,728","17,553","17,978","18,363"
"UKJ46",,,"West Kent","10,527","11,052","11,500","12,401","13,259","13,809","14,023","14,287","14,782","15,239","16,074","16,143","17,176","18,170","18,336","18,745","19,115"
,,,,,,,,,,,,,,,,,,,,
"UKK","South West",,,"10,203","10,670","11,055","11,771","12,366","12,721","13,252","13,599","14,173","14,841","15,403","15,717","16,061","17,012","17,184","17,523","17,693"
,,,,,,,,,,,,,,,,,,,,
"UKK1",,"Gloucestershire, Wiltshire and Bristol/Bath area",,"10,634","11,137","11,568","12,385","12,936","13,278","13,813","14,131","14,729","15,360","15,918","16,234","16,524","17,412","17,592","17,971","18,176"
"UKK11",,,"Bristol, City of","9,649","10,093","10,353","11,219","11,918","12,164","12,635","13,043","13,106","13,639","14,298","14,534","14,707","15,663","15,906","16,235","16,422"
"UKK12",,,"Bath and North East Somerset, North Somerset and South Gloucestershire","11,162","11,854","12,296","12,827","13,067","13,419","14,088","14,285","14,914","15,684","16,266","16,723","16,902","17,835","18,054","18,363","18,493"
"UKK13",,,"Gloucestershire","10,715","11,115","11,619","12,590","13,204","13,404","13,748","14,231","15,233","15,896","16,400","16,760","17,122","18,157","18,221","18,692","18,793"
"UKK14",,,"Swindon","10,223","11,018","11,380","12,165","13,012","13,615","14,033","14,273","14,591","15,013","15,345","15,564","16,166","16,377","16,476","17,004","17,365"
"UKK15",,,"Wiltshire","10,878","11,177","11,674","12,651","13,290","13,772","14,466","14,699","15,347","15,925","16,528","16,711","17,044","17,925","18,188","18,529","18,928"
,,,,,,,,,,,,,,,,,,,,
"UKK2",,"Dorset and Somerset",,"10,324","10,824","11,296","11,962","12,616","12,912","13,565","13,982","14,538","15,348","15,898","16,168","16,274","17,417","17,683","17,935","18,206"
"UKK21",,,"Bournemouth and Poole","10,237","10,748","11,166","12,361","12,812","13,126","13,721","14,209","14,729","15,398","16,087","16,196","16,071","17,044","17,173","17,250","17,563"
"UKK22",,,"Dorset CC","10,561","11,137","11,511","12,194","12,828","13,292","13,939","14,319","14,878","15,908","16,347","16,628","16,787","18,081","18,510","18,831","18,949"
"UKK23",,,"Somerset","10,190","10,623","11,207","11,536","12,332","12,484","13,178","13,583","14,158","14,878","15,432","15,791","15,997","17,128","17,357","17,670","18,033"
,,,,,,,,,,,,,,,,,,,,
"UKK3",,"Cornwall and Isles of Scilly",,"9,110","9,490","9,698","10,296","11,053","11,585","11,976","12,284","12,793","13,416","14,019","14,111","14,686","15,758","15,943","16,306","16,489"
"UKK30",,,"Cornwall and Isles of Scilly","9,110","9,490","9,698","10,296","11,053","11,585","11,976","12,284","12,793","13,416","14,019","14,111","14,686","15,758","15,943","16,306","16,489"
,,,,,,,,,,,,,,,,,,,,
"UKK4",,"Devon",,"9,702","10,100","10,379","11,005","11,551","11,916","12,372","12,714","13,288","13,890","14,452","14,909","15,518","16,323","16,362","16,704","16,681"
"UKK41",,,"Plymouth","8,594","9,102","9,442","10,228","10,492","10,755","11,253","11,566","11,700","12,113","12,676","13,035","13,489","14,451","14,534","15,008","14,837"
"UKK42",,,"Torbay","9,076","9,341","9,633","10,744","10,881","11,166","11,768","12,063","12,743","13,233","13,593","14,046","14,405","15,411","15,559","15,861","15,971"
"UKK43",,,"Devon CC","10,216","10,590","10,843","11,322","12,036","12,450","12,864","13,223","13,930","14,616","15,212","15,702","16,408","17,124","17,131","17,432","17,434"
,,,,,,,,,,,,,,,,,,,,
"UKL","Wales",,,"8,640","8,892","9,247","9,887","10,415","10,822","11,406","11,843","12,323","12,586","13,028","13,587","13,791","14,401","14,567","15,074","15,413"
,,,,,,,,,,,,,,,,,,,,
"UKL1",,"West Wales and The Valleys",,"8,479","8,738","9,024","9,598","10,141","10,531","11,096","11,503","11,996","12,202","12,610","13,161","13,387","13,928","14,061","14,556","14,868"
"UKL11",,,"Isle of Anglesey","8,605","9,043","9,479","9,681","10,054","10,391","11,235","11,809","12,293","12,165","12,820","13,698","14,162","14,866","15,130","15,439","15,601"
"UKL12",,,"Gwynedd","7,991","8,302","8,617","9,143","9,755","10,198","11,084","11,258","11,955","12,382","12,842","12,852","13,345","13,931","14,012","14,404","14,471"
"UKL13",,,"Conwy and Denbighshire","9,490","9,772","10,005","10,504","10,917","11,440","11,893","12,438","13,238","13,283","13,605","14,281","14,445","15,126","15,457","16,013","16,391"
"UKL14",,,"South West Wales","8,395","8,588","8,957","9,009","9,487","10,003","10,607","10,922","11,832","12,370","12,628","13,283","13,642","14,353","14,626","15,125","15,606"
"UKL15",,,"Central Valleys","7,543","7,684","7,929","8,618","9,566","10,098","10,508","11,044","11,536","11,698","12,158","12,533","12,687","13,250","13,336","13,803","14,126"
"UKL16",,,"Gwent Valleys","8,278","8,574","8,916","9,858","10,147","10,401","11,058","11,405","11,604","11,537","12,055","12,425","12,514","13,009","13,192","13,686","14,067"
"UKL17",,,"Bridgend and Neath Port Talbot","9,068","9,356","9,483","10,364","10,766","10,863","11,416","11,884","12,183","12,404","12,932","13,392","13,552","14,021","13,939","14,513","14,773"
"UKL18",,,"Swansea","8,756","9,079","9,366","9,925","10,726","11,134","11,561","11,913","12,008","12,242","12,493","13,534","13,760","13,958","13,913","14,407","14,503"
,,,,,,,,,,,,,,,,,,,,
"UKL2",,"East Wales",,"8,928","9,164","9,642","10,393","10,897","11,333","11,948","12,438","12,893","13,253","13,754","14,324","14,486","15,213","15,434","15,959","16,340"
"UKL21",,,"Monmouthshire and Newport","9,116","9,258","9,826","10,589","11,252","11,740","12,286","12,591","13,194","13,556","14,362","14,922","14,795","15,427","15,694","16,278","16,075"
"UKL22",,,"Cardiff and Vale of Glamorgan","8,986","9,359","9,825","10,355","10,913","11,384","12,034","12,541","12,936","13,405","13,766","14,367","14,623","15,300","15,423","15,999","16,520"
"UKL23",,,"Flintshire and Wrexham","8,982","9,238","9,471","10,554","10,886","11,251","11,891","12,521","12,855","13,023","13,372","13,865","14,029","14,742","15,134","15,532","16,112"
"UKL24",,,"Powys","8,276","8,171","9,065","9,829","10,237","10,623","11,190","11,641","12,301","12,698","13,464","14,104","14,441","15,543","15,660","16,175","16,667"
,,,,,,,,,,,,,,,,,,,,
"UKM","Scotland",,,"9,437","9,808","10,066","10,731","11,346","11,849","12,231","12,747","13,228","13,664","14,461","15,099","15,365","16,082","16,269","16,705","17,039"
,,,,,,,,,,,,,,,,,,,,
"UKM2",,"Eastern Scotland",,"9,728","10,129","10,471","11,118","11,783","12,299","12,756","13,365","13,802","14,240","15,019","15,596","15,815","16,487","16,766","17,229","17,471"
"UKM21",,,"Angus and Dundee City","9,251","9,522","9,731","10,469","11,201","11,683","12,024","12,269","12,373","12,673","13,488","14,428","14,461","14,720","14,899","15,274","15,367"
"UKM22",,,"Clackmannanshire and Fife","8,833","9,271","9,564","10,150","10,621","11,175","11,678","12,127","12,398","12,335","13,399","14,091","14,402","14,966","15,052","15,468","15,797"
"UKM23",,,"East Lothian and Midlothian","9,642","9,934","10,366","11,108","11,270","11,657","12,443","13,601","14,378","14,749","15,424","16,094","16,496","17,715","17,876","18,345","18,860"
"UKM24",,,"Scottish Borders","9,128","9,563","10,147","10,481","11,034","11,490","12,405","12,932","13,661","13,981","14,834","15,450","15,813","16,800","16,900","17,072","17,953"
"UKM25",,,"Edinburgh, City of","11,236","11,767","12,188","12,941","13,848","14,583","14,824","15,507","16,117","16,841","17,403","17,896","18,286","18,789","19,280","19,887","20,083"
"UKM26",,,"Falkirk","8,636","9,041","9,285","10,016","10,376","11,246","11,540","11,971","12,481","13,051","13,791","14,422","14,335","14,721","15,128","15,724","15,829"
"UKM27",,,"Perth & Kinross and Stirling","11,014","11,229","11,446","11,672","12,726","12,582","13,263","14,371","14,802","15,649","16,354","16,563","16,756","17,571","18,103","18,538","18,910"
"UKM28",,,"West Lothian","8,151","8,656","9,114","10,092","10,822","11,494","11,841","12,196","12,471","13,040","13,841","14,133","13,951","15,166","15,192","15,550","15,109"
,,,,,,,,,,,,,,,,,,,,
"UKM3",,"South Western Scotland",,"9,086","9,448","9,748","10,467","11,010","11,506","11,862","12,293","12,685","13,045","13,801","14,342","14,654","15,190","15,284","15,659","16,075"
"UKM31",,,"East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond","9,188","9,484","10,464","11,384","11,856","12,350","12,641","13,123","13,624","14,196","14,825","15,639","15,967","16,866","17,019","17,534","18,298"
"UKM32",,,"Dumfries & Galloway","9,210","9,399","9,612","10,044","10,390","10,829","11,298","11,468","11,908","12,402","13,387","14,123","14,817","15,425","15,462","15,959","16,489"
"UKM33",,,"East Ayrshire and North Ayrshire mainland","8,336","8,573","8,796","9,252","10,098","10,679","11,058","11,532","12,007","12,299","13,056","13,328","13,679","14,479","14,583","14,828","15,066"
"UKM34",,,"Glasgow City","8,716","9,075","9,296","10,112","10,586","11,094","11,653","11,920","12,042","12,495","13,323","13,652","13,938","14,127","14,150","14,430","14,927"
"UKM35",,,"Inverclyde, East Renfrewshire and Renfrewshire","10,146","10,497","10,813","11,581","12,385","12,524","12,837","13,488","13,750","14,197","14,829","15,570","15,881","16,567","16,533","17,179","17,685"
"UKM36",,,"North Lanarkshire","8,650","9,098","9,211","9,976","10,479","10,913","11,223","11,586","12,007","12,094","12,940","13,555","13,715","13,994","14,179","14,462","14,974"
"UKM37",,,"South Ayrshire","9,232","9,621","9,796","10,441","11,136","11,557","12,068","12,841","13,436","13,994","14,403","15,184","15,536","16,668","16,865","17,334","17,569"
"UKM38",,,"South Lanarkshire","9,476","9,993","10,255","10,908","11,176","12,115","12,104","12,607","13,381","13,524","14,309","14,804","15,100","15,691","15,923","16,208","16,183"
,,,,,,,,,,,,,,,,,,,,
"UKM5",,"North Eastern Scotland",,"10,849","11,229","11,074","11,763","12,549","13,024","13,271","13,793","14,849","15,639","16,557","17,683","17,464","18,666","19,223","19,740","20,159"
"UKM50",,,"Aberdeen City and Aberdeenshire","10,849","11,229","11,074","11,763","12,549","13,024","13,271","13,793","14,849","15,639","16,557","17,683","17,464","18,666","19,223","19,740","20,159"
,,,,,,,,,,,,,,,,,,,,
"UKM6",,"Highlands and Islands",,"8,602","8,882","8,961","9,378","9,981","10,484","10,816","11,356","11,900","12,347","13,279","14,166","14,864","16,176","16,023","16,523","16,724"
"UKM61",,,"Caithness & Sutherland and Ross & Cromarty","9,390","9,719","10,192","10,131","10,901","11,515","11,820","12,058","12,652","13,241","13,589","14,301","15,078","15,918","16,112","16,835","17,153"
"UKM62",,,"Inverness & Nairn and Moray, Badenoch & Strathspey","8,388","8,749","8,873","9,297","9,727","10,047","10,348","11,154","11,484","11,690","13,027","14,057","14,317","16,252","15,879","16,409","16,601"
"UKM63",,,"Lochaber, Skye & Lochalsh, Arran & Cumbrae and Argyll & Bute","8,267","8,221","8,055","8,877","9,635","10,410","10,835","11,177","12,002","12,740","13,416","14,202","15,450","16,022","15,862","16,224","16,177"
"UKM64",,,"Eilean Siar (Western Isles)","8,540","8,988","8,759","9,069","9,625","10,579","10,723","11,326","11,702","11,685","12,381","13,159","13,670","14,554","14,570","14,651","15,392"
"UKM65",,,"Orkney Islands","7,816","8,707","8,793","8,911","9,064","9,892","9,963","10,267","11,105","11,711","13,802","14,629","15,754","17,671","18,062","18,520","18,579"
"UKM66",,,"Shetland Islands","9,398","9,593","9,260","10,060","11,102","10,569","11,326","11,974","12,730","13,711","14,109","15,168","16,657","17,823","17,433","17,882","18,266"
,,,,,,,,,,,,,,,,,,,,
"UKN","Northern Ireland",,,"8,157","8,535","8,646","9,339","9,660","10,105","10,799","11,175","11,881","12,547","13,430","13,496","13,595","14,034","14,117","14,323","14,347"
,,,,,,,,,,,,,,,,,,,,
"UKN0",,"Northern Ireland",,"8,157","8,535","8,646","9,339","9,660","10,105","10,799","11,175","11,881","12,547","13,430","13,496","13,595","14,034","14,117","14,323","14,347"
"UKN01",,,"Belfast","9,207","9,621","9,879","10,555","10,748","11,040","11,714","11,571","12,031","12,621","13,100","13,732","13,981","14,384","14,288","14,581","15,049"
"UKN02",,,"Outer Belfast","8,891","9,225","9,402","10,289","10,728","11,190","11,880","12,462","12,961","13,459","14,506","14,749","14,744","15,095","15,105","15,474","15,208"
"UKN03",,,"East of Northern Ireland","8,622","9,096","9,063","9,725","9,972","10,462","11,103","11,403","12,194","13,051","14,022","14,097","14,165","14,660","14,739","14,935","15,010"
"UKN04",,,"North of Northern Ireland","6,633","6,864","7,032","7,716","8,144","8,818","9,567","9,920","11,001","11,587","12,270","12,049","12,360","12,875","13,150","13,177","12,910"
"UKN05",,,"West and South of Northern Ireland","7,208","7,624","7,682","8,239","8,563","8,899","9,638","10,299","11,021","11,761","12,825","12,523","12,500","12,935","13,078","13,212","13,357"
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"1 Household income covers the income received by households and non profit making institutions serving households.",,,,,,,,,,,,,,,,,,,,
"2 Provisional.",,,,,,,,,,,,,,,,,,,,
