DATASET_TITLE	Dwelling Stock by Council Tax Band, 2001										FROM	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001
AREA_TYPE	Super Output Area Lower Layer										TO	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001
GEO_HIERARCHY	NeSS Geography Hierarchy										HEADING	Dwelling Stock by Council Tax Band; Total	Dwelling Stock by Council Tax Band; Band A	Dwelling Stock by Council Tax Band; Band A	Dwelling Stock by Council Tax Band; Band B	Dwelling Stock by Council Tax Band; Band B	Dwelling Stock by Council Tax Band; Band C	Dwelling Stock by Council Tax Band; Band C	Dwelling Stock by Council Tax Band; Band D	Dwelling Stock by Council Tax Band; Band D	Dwelling Stock by Council Tax Band; Band E	Dwelling Stock by Council Tax Band; Band E	Dwelling Stock by Council Tax Band; Band F	Dwelling Stock by Council Tax Band; Band F	Dwelling Stock by Council Tax Band; Band G	Dwelling Stock by Council Tax Band; Band G	Dwelling Stock by Council Tax Band; Band H	Dwelling Stock by Council Tax Band; Band H	Dwelling Stock by Council Tax Band; Band X; Unallocated	Dwelling Stock by Council Tax Band; Band X; Unallocated
											MEASUREMENT_UNIT	Count	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage
											STATISTICAL_UNIT	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings
GOR_CODE	GOR_NAME	CTY_CODE	CTY_NAME	LA_CODE	LA_NAME	MSOA_CODE	MSOA_NAME	LSOA_CODE	LSOA_NAME	AREA_METADATA		DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE
H	London			00AB	Barking and Dagenham	E02000015	Barking and Dagenham 014	E01000103	Barking and Dagenham 014A			600	46	7.67	414	69	71	11.83	49	8.17	20	3.33	0	0	0	0	0	0	0	0
H	London			00AB	Barking and Dagenham	E02000015	Barking and Dagenham 014	E01000104	Barking and Dagenham 014B			719	255	35.47	293	40.75	117	16.27	42	5.84	10	1.39	1	0.14	0	0	1	0.14	0	0
H	London			00AB	Barking and Dagenham	E02000015	Barking and Dagenham 014	E01000105	Barking and Dagenham 014C			841	251	29.85	147	17.48	416	49.46	25	2.97	1	0.12	0	0	1	0.12	0	0	0	0
H	London			00AB	Barking and Dagenham	E02000015	Barking and Dagenham 014	E01000106	Barking and Dagenham 014D			925	325	35.14	299	32.32	280	30.27	19	2.05	0	0	1	0.11	1	0.11	0	0	0	0
H	London			00AB	Barking and Dagenham	E02000011	Barking and Dagenham 010	E01000107	Barking and Dagenham 010C			604	26	4.3	74	12.25	375	62.09	108	17.88	19	3.15	2	0.33	0	0	0	0	0	0
H	London			00AB	Barking and Dagenham	E02000011	Barking and Dagenham 010	E01000108	Barking and Dagenham 010D			611	32	5.24	144	23.57	343	56.14	90	14.73	2	0.33	0	0	0	0	0	0	0	0
H	London			00AB	Barking and Dagenham	E02000005	Barking and Dagenham 004	E01000109	Barking and Dagenham 004D			615	37	6.02	0	0	567	92.2	10	1.63	1	0.16	0	0	0	0	0	0	0	0
H	London			00AB	Barking and Dagenham	E02000003	Barking and Dagenham 002	E01000110	Barking and Dagenham 002C			513	1	0.19	40	7.8	32	6.24	395	77	34	6.63	10	1.95	1	0.19	0	0	0	0
H	London			00AB	Barking and Dagenham	E02000003	Barking and Dagenham 002	E01000111	Barking and Dagenham 002D			712	71	9.97	286	40.17	182	25.56	147	20.65	24	3.37	2	0.28	0	0	0	0	0	0
H	London			00AB	Barking and Dagenham	E02000003	Barking and Dagenham 002	E01000112	Barking and Dagenham 002E			633	8	1.26	185	29.23	128	20.22	297	46.92	15	2.37	0	0	0	0	0	0	0	0
H	London			00AB	Barking and Dagenham	E02000003	Barking and Dagenham 002	E01000113	Barking and Dagenham 002F			660	8	1.21	125	18.94	428	64.85	93	14.09	6	0.91	0	0	0	0	0	0	0	0
H	London			00AB	Barking and Dagenham	E02000005	Barking and Dagenham 004	E01000114	Barking and Dagenham 004E			784	38	4.85	119	15.18	483	61.61	142	18.11	1	0.13	0	0	0	0	0	0	1	0.13
