DATASET_TITLE	Dwelling Stock by Council Tax Band, 2011												FROM	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011
AREA_TYPE	Super Output Area Lower Layer												TO	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011
GEO_HIERARCHY	NeSS Geography Hierarchy												HEADING	Dwelling Stock by Council Tax Band; Total	Dwelling Stock by Council Tax Band; Band A	Dwelling Stock by Council Tax Band; Band A	Dwelling Stock by Council Tax Band; Band B	Dwelling Stock by Council Tax Band; Band B	Dwelling Stock by Council Tax Band; Band C	Dwelling Stock by Council Tax Band; Band C	Dwelling Stock by Council Tax Band; Band D	Dwelling Stock by Council Tax Band; Band D	Dwelling Stock by Council Tax Band; Band E	Dwelling Stock by Council Tax Band; Band E	Dwelling Stock by Council Tax Band; Band F	Dwelling Stock by Council Tax Band; Band F	Dwelling Stock by Council Tax Band; Band G	Dwelling Stock by Council Tax Band; Band G	Dwelling Stock by Council Tax Band; Band H	Dwelling Stock by Council Tax Band; Band H	Dwelling Stock by Council Tax Band; Band I	Dwelling Stock by Council Tax Band; Band I	Dwelling Stock by Council Tax Band; Band X; Unallocated	Dwelling Stock by Council Tax Band; Band X; Unallocated
													MEASUREMENT_UNIT	Count	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage
													STATISTICAL_UNIT	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings
GOR_CODE	GOR_NAME	CTY_CODE	CTY_NAME	LA_CODE	LA_NAME	FLA_CODE	FLA_NAME	MSOA_CODE	MSOA_NAME	LSOA_CODE	LSOA_NAME	AREA_METADATA		DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE
E12000007	London			E09000002	Barking and Dagenham			E02000014	Barking and Dagenham 013	E01000014	Barking and Dagenham 013B			668	33	4.94	54	8.08	571	85.48	8	1.2	1	0.15	0	0	1	0.15	0	0	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000010	Barking and Dagenham 009	E01000015	Barking and Dagenham 009A			857	44	5.13	62	7.23	723	84.36	28	3.27	0	0	0	0	0	0	0	0	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000010	Barking and Dagenham 009	E01000016	Barking and Dagenham 009B			640	31	4.84	7	1.09	598	93.44	4	0.63	0	0	0	0	0	0	0	0	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000010	Barking and Dagenham 009	E01000017	Barking and Dagenham 009C			675	49	7.26	35	5.19	577	85.48	10	1.48	3	0.44	1	0.15	0	0	0	0	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000010	Barking and Dagenham 009	E01000018	Barking and Dagenham 009D			630	18	2.86	5	0.79	595	94.44	10	1.59	1	0.16	1	0.16	0	0	0	0	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000006	Barking and Dagenham 005	E01000019	Barking and Dagenham 005A			514	6	1.17	26	5.06	438	85.21	43	8.37	0	0	0	0	1	0.19	0	0	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000006	Barking and Dagenham 005	E01000020	Barking and Dagenham 005B			656	4	0.61	95	14.48	510	77.74	46	7.01	0	0	0	0	0	0	1	0.15	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000009	Barking and Dagenham 008	E01000021	Barking and Dagenham 008A			583	38	6.52	91	15.61	329	56.43	124	21.27	1	0.17	0	0	0	0	0	0	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000009	Barking and Dagenham 008	E01000022	Barking and Dagenham 008B			488	0	0	14	2.87	460	94.26	13	2.66	1	0.2	0	0	0	0	0	0	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000009	Barking and Dagenham 008	E01000023	Barking and Dagenham 008C			541	6	1.11	122	22.55	297	54.9	111	20.52	4	0.74	0	0	1	0.18	0	0	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000009	Barking and Dagenham 008	E01000024	Barking and Dagenham 008D			446	8	1.79	0	0	420	94.17	16	3.59	1	0.22	0	0	1	0.22	0	0	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000009	Barking and Dagenham 008	E01000025	Barking and Dagenham 008E			656	35	5.34	18	2.74	529	80.64	58	8.84	16	2.44	0	0	0	0	0	0	0	0	0	0
