"","long","lat","order","hole","piece","group","id"
"74",524045.709338788,161329.86946053,4,FALSE,"1","ID11.1","ID11"
"75",522476.807854208,160424.063766075,5,FALSE,"1","ID11.1","ID11"
"76",520907.906369628,161329.86946053,6,FALSE,"1","ID11.1","ID11"
"77",520907.906369628,163141.480849438,7,FALSE,"1","ID11.1","ID11"
"78",524045.709338788,163141.480849438,1,FALSE,"1","ID12.1","ID12"
"79",525614.610823369,164047.286543893,2,FALSE,"1","ID12.1","ID12"
"80",527183.512307949,163141.480849438,3,FALSE,"1","ID12.1","ID12"
"81",527183.512307949,161329.86946053,4,FALSE,"1","ID12.1","ID12"
"82",525614.610823369,160424.063766075,5,FALSE,"1","ID12.1","ID12"
"83",524045.709338788,161329.86946053,6,FALSE,"1","ID12.1","ID12"
"84",524045.709338788,163141.480849438,7,FALSE,"1","ID12.1","ID12"
"85",527183.512307949,163141.480849438,1,FALSE,"1","ID13.1","ID13"
"86",528752.413792529,164047.286543893,2,FALSE,"1","ID13.1","ID13"
"87",530321.31527711,163141.480849438,3,FALSE,"1","ID13.1","ID13"
"88",530321.31527711,161329.86946053,4,FALSE,"1","ID13.1","ID13"
"89",528752.413792529,160424.063766075,5,FALSE,"1","ID13.1","ID13"
"90",527183.512307949,161329.86946053,6,FALSE,"1","ID13.1","ID13"
"91",527183.512307949,163141.480849438,7,FALSE,"1","ID13.1","ID13"
"92",530321.31527711,163141.480849438,1,FALSE,"1","ID14.1","ID14"
"93",531890.21676169,164047.286543893,2,FALSE,"1","ID14.1","ID14"
"94",533459.11824627,163141.480849438,3,FALSE,"1","ID14.1","ID14"
"95",533459.11824627,161329.86946053,4,FALSE,"1","ID14.1","ID14"
"96",531890.21676169,160424.063766075,5,FALSE,"1","ID14.1","ID14"
"97",530321.31527711,161329.86946053,6,FALSE,"1","ID14.1","ID14"
"98",530321.31527711,163141.480849438,7,FALSE,"1","ID14.1","ID14"
"99",533459.118246271,163141.480849438,1,FALSE,"1","ID15.1","ID15"
"100",535028.019730851,164047.286543893,2,FALSE,"1","ID15.1","ID15"
"101",536596.921215431,163141.480849438,3,FALSE,"1","ID15.1","ID15"
"102",536596.921215431,161329.86946053,4,FALSE,"1","ID15.1","ID15"
"103",535028.019730851,160424.063766075,5,FALSE,"1","ID15.1","ID15"
"104",533459.118246271,161329.86946053,6,FALSE,"1","ID15.1","ID15"
"105",533459.118246271,163141.480849438,7,FALSE,"1","ID15.1","ID15"
"106",536596.921215432,163141.480849438,1,FALSE,"1","ID16.1","ID16"
"107",538165.822700012,164047.286543893,2,FALSE,"1","ID16.1","ID16"
"108",539734.724184592,163141.480849438,3,FALSE,"1","ID16.1","ID16"
"109",539734.724184592,161329.86946053,4,FALSE,"1","ID16.1","ID16"
"110",538165.822700012,160424.063766075,5,FALSE,"1","ID16.1","ID16"
"111",536596.921215432,161329.86946053,6,FALSE,"1","ID16.1","ID16"
"112",536596.921215432,163141.480849438,7,FALSE,"1","ID16.1","ID16"
"113",539734.724184592,163141.480849438,1,FALSE,"1","ID17.1","ID17"
"114",541303.625669172,164047.286543893,2,FALSE,"1","ID17.1","ID17"
"115",542872.527153753,163141.480849438,3,FALSE,"1","ID17.1","ID17"
"116",542872.527153753,161329.86946053,4,FALSE,"1","ID17.1","ID17"
"117",541303.625669172,160424.063766075,5,FALSE,"1","ID17.1","ID17"
"118",539734.724184592,161329.86946053,6,FALSE,"1","ID17.1","ID17"
"119",539734.724184592,163141.480849438,7,FALSE,"1","ID17.1","ID17"
"120",542872.527153753,163141.480849438,1,FALSE,"1","ID18.1","ID18"
"121",544441.428638333,164047.286543893,2,FALSE,"1","ID18.1","ID18"
"122",546010.330122914,163141.480849438,3,FALSE,"1","ID18.1","ID18"
"123",546010.330122914,161329.86946053,4,FALSE,"1","ID18.1","ID18"
