"","LSOA01CD","hex","hex.id"
"1183","E01001201",105,"ID105"
"1184","E01001202",105,"ID105"
"1185","E01001203",89,"ID89"
"1186","E01001204",104,"ID104"
"1187","E01001205",104,"ID104"
"1188","E01001206",104,"ID104"
"1189","E01001207",105,"ID105"
"1190","E01001208",121,"ID121"
"1191","E01001209",121,"ID121"
"1192","E01001210",121,"ID121"
"1193","E01001211",105,"ID105"
"1194","E01001212",121,"ID121"
"1195","E01001213",103,"ID103"
"1196","E01001214",104,"ID104"
"1197","E01001215",103,"ID103"
"1198","E01001216",104,"ID104"
"1199","E01001217",104,"ID104"
"1200","E01001218",104,"ID104"
"1201","E01001219",104,"ID104"
"1202","E01001220",104,"ID104"
"1203","E01001221",105,"ID105"
"1204","E01001222",105,"ID105"
"1205","E01001223",105,"ID105"
"1206","E01001224",105,"ID105"
"1207","E01001225",105,"ID105"
"1208","E01001226",105,"ID105"
"1209","E01001227",105,"ID105"
"1210","E01001228",105,"ID105"
"1211","E01001229",88,"ID88"
"1212","E01001230",88,"ID88"
"1213","E01001231",88,"ID88"
"1214","E01001232",105,"ID105"
"1215","E01001233",88,"ID88"
"1216","E01001234",105,"ID105"
"1217","E01001235",105,"ID105"
"1218","E01001236",105,"ID105"
"1219","E01001237",105,"ID105"
"1220","E01001238",122,"ID122"
"1221","E01001239",106,"ID106"
"1222","E01001240",106,"ID106"
"1223","E01001241",106,"ID106"
"1224","E01001242",106,"ID106"
"1225","E01001243",106,"ID106"
"1226","E01001244",106,"ID106"
"1227","E01001245",106,"ID106"
"1228","E01001246",122,"ID122"
"1229","E01001247",122,"ID122"
"1230","E01001248",88,"ID88"
"1231","E01001249",104,"ID104"
"1232","E01001250",104,"ID104"
"1233","E01001251",104,"ID104"
"1234","E01001252",104,"ID104"
"1235","E01001253",88,"ID88"
"1236","E01001254",104,"ID104"
"1237","E01001255",88,"ID88"
"1238","E01001257",120,"ID120"
"1239","E01001258",120,"ID120"
"1240","E01001259",104,"ID104"
"1241","E01001260",104,"ID104"
"1242","E01001261",104,"ID104"
"1243","E01001262",120,"ID120"
"1244","E01001263",120,"ID120"
"1245","E01001264",120,"ID120"
"1246","E01001265",120,"ID120"
"1247","E01001266",121,"ID121"
"1248","E01001267",121,"ID121"
"1249","E01001268",120,"ID120"
"1250","E01001269",121,"ID121"
"1251","E01001270",120,"ID120"
"1252","E01001271",120,"ID120"
"1253","E01001272",120,"ID120"
"1254","E01001273",105,"ID105"
"1255","E01001274",105,"ID105"
"1256","E01001275",105,"ID105"
"1257","E01001276",122,"ID122"
"1258","E01001277",105,"ID105"
"1259","E01001278",122,"ID122"
"1260","E01001279",105,"ID105"
"1261","E01001280",105,"ID105"
"1262","E01001281",105,"ID105"
"1263","E01001282",104,"ID104"
"1264","E01001283",104,"ID104"
"1265","E01001284",104,"ID104"
"1266","E01001285",104,"ID104"
"1267","E01001286",104,"ID104"
"1268","E01001287",104,"ID104"
"1269","E01001288",104,"ID104"
"1270","E01001289",104,"ID104"
"1271","E01001290",104,"ID104"
"1272","E01001291",120,"ID120"
"1273","E01001292",104,"ID104"
"1274","E01001293",104,"ID104"
"1275","E01001294",103,"ID103"
"1276","E01001295",103,"ID103"
"1277","E01001296",104,"ID104"
"1278","E01001297",103,"ID103"
"1279","E01001298",103,"ID103"
"1280","E01001299",88,"ID88"
"1281","E01001300",88,"ID88"
"1282","E01001301",88,"ID88"
"1283","E01001302",88,"ID88"
"1284","E01001303",88,"ID88"
"1285","E01001304",88,"ID88"
"1286","E01001305",88,"ID88"
"1287","E01001306",88,"ID88"
"1288","E01001307",121,"ID121"
"1289","E01001308",121,"ID121"
"1290","E01001309",138,"ID138"
"1291","E01001310",138,"ID138"
"1292","E01001311",138,"ID138"
"1293","E01001312",121,"ID121"
"1294","E01001313",121,"ID121"
"1295","E01001314",121,"ID121"
"1296","E01001315",120,"ID120"
"1297","E01001316",120,"ID120"
"1298","E01001317",120,"ID120"
"1299","E01001318",120,"ID120"
"1300","E01001319",120,"ID120"
"1301","E01001320",120,"ID120"
"1302","E01001321",120,"ID120"
"1303","E01001322",120,"ID120"
"1304","E01001323",120,"ID120"
"1305","E01001324",120,"ID120"
"1306","E01001325",119,"ID119"
"1307","E01001326",120,"ID120"
"1308","E01001327",119,"ID119"
"1309","E01001328",120,"ID120"
"1310","E01001329",119,"ID119"
"1311","E01001330",120,"ID120"
"1312","E01001331",103,"ID103"
"1313","E01001332",120,"ID120"
"1314","E01001333",87,"ID87"
"1315","E01001334",87,"ID87"
"1316","E01001335",87,"ID87"
"1317","E01001336",87,"ID87"
"1318","E01001337",104,"ID104"
"1319","E01001338",87,"ID87"
"1320","E01001339",87,"ID87"
"1321","E01001340",104,"ID104"
"1322","E01001341",121,"ID121"
"1323","E01001342",121,"ID121"
"1324","E01001343",121,"ID121"
"1325","E01001344",121,"ID121"
"1326","E01001345",121,"ID121"
"1327","E01001346",121,"ID121"
"1328","E01001347",121,"ID121"
"1329","E01001348",121,"ID121"
"1330","E01001349",121,"ID121"
"1331","E01001350",105,"ID105"
"1332","E01001351",105,"ID105"
"1333","E01001352",105,"ID105"
"1334","E01001353",89,"ID89"
"1335","E01001354",105,"ID105"
"1336","E01001355",89,"ID89"
"1337","E01001356",105,"ID105"
"1338","E01001357",89,"ID89"
"1339","E01001358",89,"ID89"
"1340","E01001359",103,"ID103"
"1341","E01001360",87,"ID87"
"1342","E01001361",87,"ID87"
"1343","E01001362",103,"ID103"
"1344","E01001363",103,"ID103"
"1345","E01001364",103,"ID103"
"1346","E01001365",103,"ID103"
"1347","E01001366",103,"ID103"
"1348","E01001367",87,"ID87"
"1349","E01001368",87,"ID87"
"1350","E01001369",87,"ID87"
"1351","E01001370",86,"ID86"
"1352","E01001371",87,"ID87"
"1353","E01001372",87,"ID87"
"1354","E01001373",87,"ID87"
"1355","E01001374",89,"ID89"
"1356","E01001375",89,"ID89"
"1357","E01001376",89,"ID89"
"1358","E01001377",89,"ID89"
"1359","E01001379",89,"ID89"
"1360","E01001380",89,"ID89"
"1361","E01001381",89,"ID89"
"1362","E01001382",88,"ID88"
"1363","E01001383",88,"ID88"
"1364","E01001384",88,"ID88"
"1365","E01001385",88,"ID88"
"1366","E01001386",88,"ID88"
"1367","E01001387",105,"ID105"
"1368","E01001388",105,"ID105"
"1369","E01001389",88,"ID88"
"1370","E01001390",179,"ID179"
"1371","E01001391",179,"ID179"
"1372","E01001392",179,"ID179"
"1373","E01001393",179,"ID179"
"1374","E01001394",179,"ID179"
"1375","E01001395",179,"ID179"
"1376","E01001396",179,"ID179"
"1377","E01001397",194,"ID194"
"1378","E01001398",194,"ID194"
"1379","E01001399",195,"ID195"
"1380","E01001400",194,"ID194"
"1381","E01001401",195,"ID195"
"1382","E01001402",194,"ID194"
"1383","E01001403",194,"ID194"
"1384","E01001404",194,"ID194"
"1385","E01001405",194,"ID194"
"1386","E01001406",204,"ID204"
"1387","E01001407",204,"ID204"
"1388","E01001408",204,"ID204"
"1389","E01001409",204,"ID204"
"1390","E01001410",204,"ID204"
"1391","E01001411",204,"ID204"
"1392","E01001412",208,"ID208"
"1393","E01001413",204,"ID204"
"1394","E01001414",203,"ID203"
"1395","E01001415",193,"ID193"
"1396","E01001416",193,"ID193"
"1397","E01001417",202,"ID202"
"1398","E01001418",193,"ID193"
"1399","E01001419",193,"ID193"
"1400","E01001420",193,"ID193"
"1401","E01001421",193,"ID193"
"1402","E01001422",202,"ID202"
"1403","E01001423",195,"ID195"
"1404","E01001424",195,"ID195"
"1405","E01001425",180,"ID180"
"1406","E01001426",195,"ID195"
"1407","E01001427",181,"ID181"
"1408","E01001428",195,"ID195"
"1409","E01001429",195,"ID195"
"1410","E01001430",195,"ID195"
"1411","E01001431",181,"ID181"
"1412","E01001432",180,"ID180"
"1413","E01001433",205,"ID205"
"1414","E01001434",205,"ID205"
"1415","E01001435",205,"ID205"
"1416","E01001436",205,"ID205"
"1417","E01001437",205,"ID205"
"1418","E01001438",205,"ID205"
"1419","E01001439",205,"ID205"
"1420","E01001440",205,"ID205"
"1421","E01001441",205,"ID205"
"1422","E01001442",205,"ID205"
"1423","E01001444",208,"ID208"
"1424","E01001445",205,"ID205"
"1425","E01001446",208,"ID208"
"1426","E01001447",205,"ID205"
"1427","E01001448",205,"ID205"
"1428","E01001449",205,"ID205"
"1429","E01001450",204,"ID204"
"1430","E01001451",194,"ID194"
"1431","E01001452",194,"ID194"
"1432","E01001453",194,"ID194"
"1433","E01001454",194,"ID194"
"1434","E01001455",194,"ID194"
"1435","E01001456",194,"ID194"
"1436","E01001457",194,"ID194"
"1437","E01001458",180,"ID180"
"1438","E01001459",195,"ID195"
"1439","E01001460",195,"ID195"
"1440","E01001461",194,"ID194"
"1441","E01001462",195,"ID195"
"1442","E01001463",194,"ID194"
"1443","E01001464",194,"ID194"
"1444","E01001465",194,"ID194"
"1445","E01001466",180,"ID180"
"1446","E01001467",194,"ID194"
"1447","E01001468",203,"ID203"
"1448","E01001469",203,"ID203"
"1449","E01001470",203,"ID203"
"1450","E01001471",203,"ID203"
"1451","E01001472",204,"ID204"
"1452","E01001473",203,"ID203"
"1453","E01001474",203,"ID203"
"1454","E01001475",203,"ID203"
"1455","E01001476",195,"ID195"
"1456","E01001477",195,"ID195"
"1457","E01001478",195,"ID195"
"1458","E01001479",195,"ID195"
"1459","E01001480",195,"ID195"
"1460","E01001481",195,"ID195"
"1461","E01001482",195,"ID195"
"1462","E01001483",195,"ID195"
"1463","E01001484",195,"ID195"
"1464","E01001485",195,"ID195"
"1465","E01001486",181,"ID181"
"1466","E01001487",195,"ID195"
"1467","E01001488",195,"ID195"
"1468","E01001489",195,"ID195"
"1469","E01001491",195,"ID195"
"1470","E01001492",195,"ID195"
"1471","E01001493",194,"ID194"
"1472","E01001494",194,"ID194"
"1473","E01001495",194,"ID194"
"1474","E01001496",194,"ID194"
"1475","E01001497",194,"ID194"
"1476","E01001498",194,"ID194"
"1477","E01001499",194,"ID194"
"1478","E01001500",194,"ID194"
"1479","E01001501",179,"ID179"
"1480","E01001502",195,"ID195"
"1481","E01001503",195,"ID195"
"1482","E01001504",205,"ID205"
"1483","E01001505",195,"ID195"
"1484","E01001506",205,"ID205"
"1485","E01001507",195,"ID195"
"1486","E01001508",195,"ID195"
"1487","E01001509",205,"ID205"
"1488","E01001510",195,"ID195"
"1489","E01001511",204,"ID204"
"1490","E01001512",204,"ID204"
"1491","E01001513",204,"ID204"
"1492","E01001514",204,"ID204"
"1493","E01001515",195,"ID195"
"1494","E01001516",204,"ID204"
"1495","E01001517",205,"ID205"
"1496","E01001518",204,"ID204"
"1497","E01001519",193,"ID193"
"1498","E01001520",193,"ID193"
"1499","E01001521",193,"ID193"
"1500","E01001522",203,"ID203"
"1501","E01001523",194,"ID194"
"1502","E01001524",193,"ID193"
"1503","E01001525",193,"ID193"
"1504","E01001526",194,"ID194"
"1505","E01001527",179,"ID179"
"1506","E01001528",178,"ID178"
"1507","E01001529",193,"ID193"
"1508","E01001530",193,"ID193"
"1509","E01001531",193,"ID193"
"1510","E01001532",193,"ID193"
"1511","E01001533",193,"ID193"
"1512","E01001534",193,"ID193"
"1513","E01001535",193,"ID193"
"1514","E01001536",204,"ID204"
"1515","E01001537",204,"ID204"
"1516","E01001538",204,"ID204"
"1517","E01001539",204,"ID204"
"1518","E01001540",204,"ID204"
"1519","E01001541",204,"ID204"
"1520","E01001542",204,"ID204"
"1521","E01001543",204,"ID204"
"1522","E01001544",204,"ID204"
"1523","E01001545",208,"ID208"
"1524","E01001546",208,"ID208"
"1525","E01001547",208,"ID208"
"1526","E01001548",208,"ID208"
"1527","E01001549",205,"ID205"
"1528","E01001550",204,"ID204"
"1529","E01001551",208,"ID208"
"1530","E01001552",208,"ID208"
"1531","E01001553",180,"ID180"
"1532","E01001554",180,"ID180"
"1533","E01001555",181,"ID181"
