"LA","OWNOUT","OWNMORT","SOCRENT","PVTRENT"
"Barking and Dagenham",12912,24714,24934,4711
"Barnet",38200,46316,18957,23466
"Bexley",28365,42235,12191,6659
"Brent",23165,32763,23881,20182
"Bromley",40949,54857,17815,12249
"Camden",13145,18819,34241,25394
"City of London",1095,1057,938,1255
"Croydon",34169,61356,23339,20136
"Ealing",29032,45342,22277,21370
"Enfield",32137,45857,19299,13104
"Greenwich",16210,29214,36616,10748
"Hackney",8605,19011,43669,14760
"Hammersmith and Fulham",14488,18671,24630,17651
"Haringey",14953,27288,27890,22040
"Harrow",25466,34002,8798,10846
"Havering",31667,40939,13022,6091
"Hillingdon",27368,42310,16146,10820
"Hounslow",18900,31989,19729,13372
"Islington",8193,18258,40488,15347
"Kensington and Chelsea",21584,13027,20565,23966
"Kingston upon Thames",17210,26707,6832,10676
"Lambeth",13909,30119,48983,25436
"Lewisham",16519,37313,38190,15387
"Merton",21390,32923,11219,13353
"Newham",13460,26586,33505,18269
"Redbridge",27940,41550,9354,13448
"Richmond upon Thames",22244,30519,8930,14450
"Southwark",10286,22947,56639,15930
"Sutton",21458,35319,11748,7874
"Tower Hamlets",6097,16646,41236,14556
"Waltham Forest",18834,34082,21393,15476
"Wandsworth",21350,38853,26551,28897
"Westminster",13768,18061,26365,32976
