"LA","White","Mixed","Asian","Black","Other"
"Camden",128384,7582,29080,12676,7151
"City of London",5445,188,841,143,138
"Hackney",113022,10577,19733,42356,9457
"Hammersmith and Fulham",108099,6339,14740,15759,7926
"Haringey",129415,9099,19868,34893,9581
"Islington",124355,8372,16120,18842,5611
"Kensington and Chelsea",96831,5687,14323,8043,9383
"Lambeth",153214,14488,17924,56719,5955
"Lewisham",127235,10916,20570,54340,5688
"Newham",76557,7574,102483,43239,8237
"Southwark",137534,10534,23321,55759,7753
"Tower Hamlets",105479,6582,73202,13856,4834
"Wandsworth",189882,9326,27139,24374,5268
"Westminster",121262,7449,27007,12433,18661
"Barking and Dagenham",86979,3533,21372,23798,1931
"Barnet",186229,9542,53938,19435,13008
"Bexley",154766,2835,12261,13179,1390
"Brent",96762,9977,86537,42460,12722
"Bromley",214896,5814,12750,13016,2330
"Croydon",167160,12851,47074,52148,5035
"Ealing",140035,8050,80321,26193,14973
"Enfield",156154,9314,27508,37351,12138
"Greenwich",131387,6483,24195,33488,3610
"Harrow",86432,4807,81022,13859,4878
"Havering",172386,2575,8970,7915,998
"Hillingdon",138104,5272,54203,13612,5852
"Hounslow",108709,5584,69723,11405,7003
"Kingston upon Thames",99126,3306,20628,3196,3534
"Merton",108267,5496,28325,15658,3094
"Redbridge",101682,5314,86247,17432,5437
"Richmond upon Thames",130671,3506,11153,2208,2514
"Sutton",122994,3860,16627,6671,2006
"Waltham Forest",114529,7054,40820,32812,7916
