"LA","M.16_24","M.25_34","M.35_44","M.45_54","M.55_59","M.60_64","M.65_74","M.75_","F.16_24","F.25_34","F.35_44","F.45_54","F.55_59","F.60_64","F.65_74","F.75_"
"Barking and Dagenham",8925,12007,11964,9171,3472,2955,5244,4246,9867,14001,12412,9185,3699,3186,6799,7257
"Barnet",17248,25564,23072,18582,7331,5911,10451,7663,18351,27872,24925,20167,7830,6777,12056,12799
"Bexley",10964,14959,16670,13936,5824,5008,8428,5836,10824,15687,17444,14691,6335,5441,9768,9545
"Brent",17684,24703,20124,13914,5579,5409,8598,4592,17384,26852,21370,14913,6064,5712,8880,7343
"Bromley",13478,20731,22855,19271,8097,6577,11558,8431,13136,22128,23489,20349,8636,7262,13787,14206
"Camden",10733,22699,14990,10003,3930,3230,5115,3668,12615,23690,15113,10742,4413,3497,5854,5744
"City of London",299,870,627,626,284,166,247,190,338,791,458,485,188,138,264,257
"Croydon",17482,24291,26160,20061,8362,6516,10382,7339,17875,28008,28460,21322,8535,7142,11910,11343
"Ealing",18759,29343,23456,17401,6229,6117,8524,6020,17836,30585,24439,18226,6740,5994,9529,9453
"Enfield",14919,20627,21293,15789,6501,5819,9190,6133,15732,22786,22465,17235,6963,6193,10257,10629
"Greenwich",12166,17913,15848,11882,4662,4009,6044,4626,13342,19974,17183,12389,4693,4342,7595,8511
"Hackney",11660,19386,16497,10049,3258,3336,5197,2933,13817,22616,17544,10175,3759,3261,5109,5190
"Hammersmith and Fulham",9455,21258,12142,8344,2931,2872,4294,2909,10826,23004,13163,8528,3326,3204,4737,5073
"Haringey",13735,21703,17636,10638,3966,3696,5683,3125,14270,24296,18910,11966,4446,4062,6162,5523
"Harrow",12015,15307,15340,13146,5139,4491,7059,5160,11391,16621,16530,13879,5740,4912,8122,8592
"Havering",11424,14152,16422,14990,6245,5262,9572,6614,10901,14712,17143,15907,6714,5860,11509,10691
"Hillingdon",12927,17730,18716,14916,5866,4999,8291,5605,13473,20187,18995,15186,6035,5518,9461,9459
"Hounslow",13104,19752,16568,12507,4481,4222,6289,4074,13061,20639,16842,12961,4899,4178,6761,6525
"Islington",9412,19573,14545,8806,3299,2992,4692,2919,11452,21570,14741,9129,3772,3116,5315,4725
"Kensington and Chelsea",7253,16275,13414,9547,3953,3321,4547,3334,8347,18192,13027,10483,4646,3662,5422,5279
"Kingston upon Thames",8678,12988,11468,9248,3596,2688,4265,3487,8379,12383,11755,9863,3511,2793,4978,6054
"Lambeth",16436,34171,22129,12224,4045,4027,6372,4129,16845,34408,22254,12854,4662,4339,6863,6352
"Lewisham",14542,24394,21014,12841,4541,4231,6246,4604,14948,25779,22222,13409,5056,4527,7750,7907
"Merton",10182,18884,15022,10786,4119,3543,5725,4066,9970,18837,15534,12072,4151,3649,6594,7160
"Newham",17397,22249,18053,11665,3966,3932,5616,3519,17973,23345,18581,12037,4114,4087,6239,5623
"Redbridge",13711,18102,17696,15039,5848,4872,7976,5658,13293,19108,18568,15488,6361,4933,9016,9562
"Richmond upon Thames",7401,14559,14920,11559,4628,3328,5139,4152,7415,15248,15217,12347,4596,3399,6059,7416
"Southwark",15086,25430,21336,11874,4133,3950,6348,4138,14889,26409,20898,12434,4489,4318,7153,7005
"Sutton",9076,14040,14187,11213,4513,3612,5937,4323,8883,15015,14681,11624,4621,3868,7124,7647
"Tower Hamlets",14691,23390,14144,7977,2754,3226,5296,2962,16322,22494,11954,8087,3096,3080,5143,4492
"Waltham Forest",13760,20552,16647,11355,4442,4154,6194,4126,12976,21612,18005,12460,4977,4184,6742,7592
"Wandsworth",14356,35811,19849,11092,4271,4201,6266,4376,17142,38316,20864,12329,4920,4420,7399,7947
"Westminster",9996,21606,14190,9802,4268,3568,5635,3898,11208,21927,13571,10453,4542,3660,6282,6132
